Country,Decade,Schizophrenia Avg Percent,Schizophrenia Avg DALYs,Depressive Avg Percent,Depressive Avg DALYs,Anxiety Avg Percent,Anxiety Avg DALYs,Bipolar Avg Percent,Bipolar Avg DALYs,Eating Avg Percent,Eating Avg DALYs
Afghanistan,1,0.21948822500000004,135.716578,4.986991810000001,893.13969,4.678418509999998,437.44096499999995,0.7004703319999999,146.90412899999998,0.1105783102,22.9509281
Afghanistan,2,0.21446063399999998,132.75786499999998,4.97523511,892.0363530000001,4.6787437,438.8916990000001,0.699672546,147.193122,0.09702438,20.295075600000004
Afghanistan,3,0.21746898800000003,135.31262699999996,4.9419882,888.91705,4.78383248,450.70999600000005,0.6995154060000001,148.00567900000001,0.1130028784,23.7365907
Albania,1,0.28079177099999997,180.69486399999997,2.3984092,372.9869120000001,3.67896694,352.10163299999994,0.541673058,117.324402,0.1001853121,21.5333745
Albania,2,0.282644046,182.275838,2.46093638,386.45616200000006,3.72279742,357.032483,0.54252695,117.7148245,0.1114869015,23.9148846
Albania,3,0.2866169559999999,185.13987600000002,2.44453335,383.401743,3.8016401899999996,364.99769000000003,0.542203425,117.7836595,0.130197955,27.8626688
American Samoa,1,0.31145410399999995,199.025512,2.66026032,397.18220399999996,3.940106229999999,375.721361,0.2795398,59.8809955,0.134382011,28.708610600000004
American Samoa,2,0.30847215199999994,196.792734,2.63048319,389.59583499999997,3.9551032800000003,376.602629,0.279667506,59.8000226,0.129201572,27.615451399999994
American Samoa,3,0.305967783,194.84784400000004,2.6288602599999997,388.255789,4.01984985,382.43287300000003,0.279729627,59.76937150000001,0.12833645700000001,27.421065000000006
Andorra,1,0.288327462,184.67674600000004,3.6343752699999996,633.177189,5.367447150000001,515.619487,0.927176981,200.085486,0.4722444739999999,100.6986897
Andorra,2,0.28725864,183.66977500000002,3.56661815,618.351523,5.405277600000001,519.092355,0.932034754,200.91612,0.506478709,108.10202489999999
Andorra,3,0.286958906,183.406555,3.5634375300000003,617.0631369999999,5.4394748900000005,521.757344,0.93530756,201.557925,0.515248512,109.907747
Angola,1,0.21306583699999998,134.500677,5.947026320000001,1086.95475,3.9612227599999996,374.965905,0.553716956,118.111492,0.1042663036,22.017354700000002
Angola,2,0.213411821,134.93437,5.8377627599999995,1063.7065900000002,3.9829562899999997,377.512617,0.55384833,118.239749,0.10851244909999999,22.9605827
Angola,3,0.21857747400000002,138.81446,5.748943150000001,1047.5484600000002,3.9668501399999996,377.323603,0.553898043,118.71796950000001,0.132247087,28.011844099999998
Antigua and Barbuda,1,0.28484442200000004,183.148373,2.95006978,508.32069200000007,4.268761510000001,408.93807899999996,0.9467244310000001,205.61928600000002,0.24493926300000002,52.1663152
Antigua and Barbuda,2,0.28669754100000006,184.08232600000002,2.93256666,504.20069699999993,4.283365829999999,410.184615,0.9478691999999999,205.774292,0.259437764,55.2400716
Antigua and Barbuda,3,0.28803867399999994,185.06123099999996,2.90624439,498.758562,4.325290560000001,414.047418,0.9452109209999999,204.97247000000002,0.268557116,57.1836639
Argentina,1,0.310603329,199.27799100000004,2.60738929,460.002491,5.0672486800000005,486.3341240000001,0.9778977729999999,211.79153800000003,0.29320062199999997,62.643791799999995
Argentina,2,0.310819095,199.46425099999996,2.5832648,457.69301400000006,5.04848387,484.5547130000001,1.0209011540000001,221.03822100000002,0.305405316,65.06384399999999
Argentina,3,0.31229552599999993,200.315535,2.41700491,431.659594,4.9411448799999995,474.2788320000001,1.03908347,225.24127800000002,0.32683789100000005,69.5867364
Armenia,1,0.27579977999999994,177.46549199999998,2.80503226,454.054792,3.12623322,299.07953,0.541738213,117.2960157,0.09535242210000001,20.5276406
Armenia,2,0.276823234,178.564076,2.87175676,468.57833,3.1551079200000003,302.41464800000006,0.542006568,117.52018059999997,0.09903480410000001,21.3564419
Armenia,3,0.280951492,181.500292,2.9415473899999993,483.888431,3.1501086000000003,302.22886200000005,0.541721938,117.6637595,0.12075160650000001,26.007961899999998
Australia,1,0.38854868500000006,247.25234299999997,4.48501171,818.106868,5.42831935,518.009848,1.11638218,239.97868400000002,0.741690815,157.45195600000002
Australia,2,0.38857099100000003,247.221883,4.71886872,867.379945,5.45311469,520.366873,1.12257113,241.22775799999994,0.9136173299999999,193.610986
Australia,3,0.388539543,247.376543,4.522399029999999,827.580249,5.65820115,540.419175,1.12503058,241.94465100000002,1.013553866,214.95302299999997
Austria,1,0.2753574769999999,175.028425,3.5456985599999995,610.915316,5.77693313,552.416588,0.901763869,193.536876,0.445100554,94.52467329999999
Austria,2,0.275487913,175.21478699999997,3.23376718,545.4535920000001,5.817019279999999,556.69373,0.90182059,193.49738500000004,0.511592526,110.2318276
Austria,3,0.275864048,175.590619,3.11041228,520.121922,5.9628201600000015,571.5144849999999,0.9012660010000001,193.59167500000004,0.5588862619999999,120.83657590000003
Azerbaijan,1,0.274162045,177.34471100000002,2.70400782,434.745399,2.5384893999999996,243.59090999999998,0.5229640590000001,113.67143300000001,0.10945931099999999,23.523993400000002
Azerbaijan,2,0.27300131399999994,176.612191,2.6914512699999995,432.38808499999993,2.5465204600000004,244.45893,0.5226667500000001,113.5816605,0.10352935249999999,22.3012522
Azerbaijan,3,0.281267502,181.912201,2.70540997,435.239406,2.5063935699999997,240.66127500000002,0.522321568,113.53131759999997,0.138552332,29.786317299999997
Bahamas,1,0.284373213,182.80819200000002,3.02312142,524.1434099999999,4.24322076,406.54807100000005,0.8990376230000001,195.224325,0.286797841,61.0722162
