data index,z score
360,3.1103258677349825
361,3.1046081476713616
362,3.099823321448836
363,3.0961039341368233
364,3.0934068197165474
365,3.091614160348523
366,3.090928582403245
367,3.0913287567890824
368,3.0923632177331792
369,3.093391838568854
370,3.094004796035484
371,3.094664474369496
372,3.096069147404044
373,3.097659434319332
374,3.098888396265683
375,3.0994876421734063
376,3.0990648691071514
377,3.097946361385319
378,3.096507155535749
379,3.095266259454796
380,3.0950065015888626
381,3.095431052079421
382,3.0959556461664364
383,3.0964939518123584
384,3.096922564987036
385,3.097122398262197
386,3.0958071042782933
387,3.0943717071950867
388,3.0956044779077994
389,3.0988579261347806
4050,3.1464776623782877
4051,3.143653335161499
4052,3.1403506268895613
4053,3.1368244709910136
4054,3.1326835802015336
4055,3.1281130605663456
4056,3.1219009626288527
4057,3.1135663661563306
4058,3.1049575385056967
4059,3.097381902210373
4060,3.0931549333010975
4061,3.0968799068037756
4062,3.108617255144695
4063,3.1235196883329825
4064,3.1362569648029774
4065,3.142201687341812
4066,3.1412030288015234
4067,3.1371855420421935
4068,3.1319472187047537
4069,3.126654303049448
4070,3.123072285244249
4071,3.1197680534657657
4072,3.115078192484547
4073,3.1104386072193173
4074,3.1069878648947498
4075,3.1057332572548915
4076,3.1093074036096073
4077,3.112274432606117
4078,3.108073109390349
4079,3.0980580851986237
6060,4.297651141962186
6061,4.386980170807629
6062,4.46805103242556
6063,4.536283812223763
6064,4.587090216324026
6065,4.615909373965946
6066,4.628169031134064
6067,4.634770892829335
6068,4.639178905099716
6069,4.644845333776319
6070,4.655151093800396
6071,4.692948529430125
6072,4.763923621009441
6073,4.845769439623295
6074,4.91626005612128
6075,4.953119011719252
6076,4.961761102596119
6077,4.9625990311959045
6078,4.956130730241084
6079,4.9428975523906695
6080,4.923356041772667
6081,4.873670176736298
6082,4.782857506433722
6083,4.670865302059443
6084,4.557673844116443
6085,4.4631834290140855
6086,4.311848953373382
6087,4.194615886484089
6088,4.196803387965041
6089,4.241558424068315
