Country,Schizophrenia,Depressive,Anxiety,Bipolar,Eating
Africa (IHME GBD),0.21713928233333338,4.968071706666667,4.713664896666667,0.6998860946666666,0.10686852286666668
Albania,0.21984266066666666,4.557986183333332,3.6680809400000003,0.6053998446666669,0.11277957606666665
Algeria,0.28335092433333336,2.4346263099999996,3.734468183333333,0.5421344776666668,0.11395672286666668
America (IHME GBD),0.24905719233333334,4.132249043333333,4.664658516666665,0.7563284786666669,0.195033661
American Samoa,0.3419721033333333,3.6918907100000005,5.489782250000001,0.8331550836666667,0.2994681773333333
Andorra,0.3086313463333334,2.6398679233333335,3.9716864533333336,0.2796456443333334,0.13064001333333336
Angola,0.2875150026666667,3.58814365,5.404066546666666,0.9315064316666668,0.497990565
Antigua and Barbuda,0.21501837733333337,5.844577409999999,3.9703430633333325,0.5538211096666666,0.11500861323333335
Argentina,0.286526879,2.929626943333333,4.292472633333334,0.9466015173333332,0.2576447143333334
Armenia,0.31123931666666677,2.535886333333333,5.0189591433333325,1.0126274656666667,0.30848127633333333
Asia (IHME GBD),0.2778581686666667,2.8727788033333335,3.1438165799999997,0.5418222396666666,0.10504627756666667
Australia,0.29080846366666674,3.29131105,3.273699429999999,0.32835510833333337,0.11342844423333334
Austria,0.3885530729999999,4.575426486666667,5.513211729999999,1.121327963333333,0.8896206703333334
Azerbaijan,0.27556981266666664,3.2966260066666666,5.852257523333334,0.9016168200000002,0.505193114
Bahamas,0.27614362033333334,2.7002896866666672,2.5304678100000007,0.5226507923333332,0.11718033183333333
Bahrain,0.28502673866666667,2.993167586666667,4.269834096666667,0.8992652083333336,0.2930047783333334
Bangladesh,0.2711379783333333,4.868266873333334,4.9466680033333335,0.7796779413333333,0.27336050766666664
Barbados,0.2786147206666667,4.6180671266666655,3.105302366666665,0.39010578333333334,0.09435406036666667
Belarus,0.28243489899999996,3.081273723333332,4.267525303333334,0.9330974069999999,0.23809125066666667
Belgium,0.2726789086666666,3.984772626666667,3.5111295600000005,0.5211881243333333,0.11331907786666667
Belize,0.27423265599999996,3.4134894033333336,4.994399623333333,0.8991318516666666,0.40340837366666665
Benin,0.2692648436666667,3.2629461600000003,4.0847051666666685,0.9066762006666668,0.18430913166666665
Bermuda,0.21193578500000002,4.410542666666666,3.1738201333333325,0.5456935303333332,0.0928363454
Bhutan,0.30190666033333335,3.32724887,4.266897589999999,0.9781026339999997,0.3415414309999999
Bolivia,0.2856002476666667,4.064584733333334,3.206718016666667,0.39253396033333326,0.11665002003333333
Bosnia and Herzegovina,0.26345032000000007,3.532390663333334,5.654752436666668,0.887741583,0.2078897616666667
Botswana,0.2826658736666666,2.9967329733333328,3.5531129433333337,0.5488816123333333,0.11062661386666667
Brazil,0.22041105733333335,4.28322159,3.53343253,0.5409187719999999,0.157354774
Brunei,0.27567535499999996,4.1102913533333325,7.432757966666666,1.1123594499999998,0.21372691366666666
Bulgaria,0.3050522793333333,1.5552025733333337,2.87291485,0.5987697896666666,0.43022509433333334
