data index,z score
4350,3.58547773736134
4351,3.666283886006235
4352,3.7404754656485086
4353,3.8034600526528446
4354,3.8517780822023395
4355,3.8755696420979007
4356,3.885352175313097
4357,3.892377272225348
4358,3.897812097606515
4359,3.90249219201176
4360,3.910263634000202
4361,3.9387436742007393
4362,4.002258097597265
4363,4.075907261997751
4364,4.138231268809524
4365,4.168903078258323
4366,4.172724380295509
4367,4.170067574789355
4368,4.159636659053936
4369,4.145732074942967
4370,4.124408256632316
4371,4.077704512781326
4372,3.9924157195521612
4373,3.8889581121980608
4374,3.787078959879972
4375,3.698047768306559
4376,3.563383178629825
4377,3.4560428996995896
4378,3.444343044863741
4379,3.464751275394507
6450,3.9230410769516753
6451,4.0145583066185075
6452,4.098344499086516
6453,4.168380103056825
6454,4.222950583211403
6455,4.248735319002468
6456,4.2607164826566155
6457,4.267833824465927
6458,4.272235659470956
6459,4.275380371870635
6460,4.283080152534092
6461,4.315695203657261
6462,4.3849429142299785
6463,4.465852361912486
6464,4.535555960488841
6465,4.5694673954752
6466,4.574478732919876
6467,4.572493942924102
6468,4.561650212215488
6469,4.547614121949624
6470,4.524456841015646
6471,4.473591403833781
6472,4.380199163222219
6473,4.264662810835269
6474,4.1538168446395956
6475,4.05541555364692
6476,3.905152428113259
6477,3.7864778433400565
6478,3.7732281217627417
6479,3.7953360216983776
