data index,z score
2340,3.0611731875850285
2341,3.125371545707345
2342,3.175140302385309
2343,3.2134395434127825
2344,3.2327737608882776
2345,3.243722157682123
2346,3.2343676113516016
2347,3.2194969375207476
2348,3.1905919937919633
2349,3.1583452460681603
2350,3.129139719675982
2351,3.108704454835663
2352,3.0847662039924177
2353,3.0553581110227346
2354,3.031114376711802
2355,3.0099630499106795
4657,3.1982514063704097
4658,3.45314441586104
4659,3.6725267419677508
4660,3.7727160622948452
4661,3.784495417683509
4662,3.790094858856846
4663,3.7906127105106284
4664,3.7840625133041637
4665,3.779626740883858
4666,3.7725178519878244
4667,3.7614082731860705
4668,3.7490871066559626
4669,3.7298329356506112
4670,3.7093856910664607
4671,3.6632767461288442
4672,3.574830297425111
4673,3.4599979183999516
4674,3.3279865867212415
4675,3.1906954552159577
6330,3.1896047539935317
6331,3.3343652557774006
6332,3.4762250259527527
6333,3.603851771389342
6334,3.719334868318045
6335,3.8149555499750716
6336,3.910294707652072
6337,4.0141705218762285
6338,4.114095743305231
6339,4.187405785678588
6340,4.2212703433533765
6341,4.217042582848681
6342,4.199793385333576
6343,4.175572521442685
6344,4.145373220846349
6345,4.116888112685458
6346,4.056321250545345
6347,3.9477395751308753
6348,3.81447200395135
6349,3.677940497111709
6350,3.564195007572301
6351,3.444438953832629
6352,3.3069452557498398
6353,3.1793326681923233
6354,3.0784120389577323
6355,3.0359950332552827
6356,3.0437350368376834
6357,3.0509168932643242
6358,3.054275033273656
6359,3.048730590015179
