data index,z score
4050,3.624424513109213
4051,3.6250834937715974
4052,3.625816170580882
4053,3.6265938363170505
4054,3.6274297734251864
4055,3.6284203867486156
4056,3.629591384245559
4057,3.6310361714975494
4058,3.6326579151952916
4059,3.6343610674273985
4060,3.635817851726559
4061,3.645795110311927
4062,3.667829829768669
4063,3.6937845843880632
4064,3.715506095220487
4065,3.724644845901896
4066,3.7246628414726506
4067,3.7247613886458293
4068,3.724895070028576
4069,3.725260979967247
4070,3.725726294011038
4071,3.7261581877091423
4072,3.7264135534274656
4073,3.7265712289045507
4074,3.726630357208458
4075,3.7266247871508433
4076,3.726452972296737
4077,3.726156473845261
4078,3.7257789953253897
4079,3.7252262742236493
